Id,WnvPresent
1,6.42946963885e-07
2,6.42946963885e-07
3,6.42946963885e-07
4,6.42946963885e-07
5,6.42946963885e-07
6,6.42946963885e-07
7,6.42946963885e-07
8,6.42946963885e-07
9,4.83093110458e-07
10,4.83093110458e-07
11,4.83093110458e-07
12,4.83093110458e-07
13,4.83093110458e-07
14,4.83093110458e-07
15,4.83093110458e-07
16,4.83093110458e-07
17,6.92539028115e-07
18,6.92539028115e-07
19,6.92539028115e-07
20,6.92539028115e-07
21,6.92539028115e-07
22,6.92539028115e-07
23,6.92539028115e-07
24,6.92539028115e-07
25,2.30309035923e-07
26,2.30309035923e-07
27,2.30309035923e-07
28,2.30309035923e-07
29,2.30309035923e-07
30,2.30309035923e-07
31,2.30309035923e-07
32,2.30309035923e-07
33,2.25640089916e-07
34,2.25640089916e-07
35,2.25640089916e-07
36,2.25640089916e-07
37,2.25640089916e-07
38,2.25640089916e-07
39,2.25640089916e-07
40,2.25640089916e-07
41,2.4185804831e-07
42,2.4185804831e-07
43,2.4185804831e-07
44,2.4185804831e-07
45,2.4185804831e-07
46,2.4185804831e-07
47,2.4185804831e-07
48,2.4185804831e-07
49,2.23720760478e-07
50,2.23720760478e-07
51,2.23720760478e-07
52,2.23720760478e-07
53,2.23720760478e-07
54,2.23720760478e-07
55,2.23720760478e-07
56,2.23720760478e-07
57,3.00643284551e-07
58,3.00643284551e-07
59,3.00643284551e-07
60,3.00643284551e-07
61,3.00643284551e-07
62,3.00643284551e-07
63,3.00643284551e-07
64,3.00643284551e-07
65,1.57975192625e-07
66,1.57975192625e-07
67,1.57975192625e-07
68,1.57975192625e-07
69,1.57975192625e-07
70,1.57975192625e-07
71,1.57975192625e-07
72,1.57975192625e-07
73,4.60683283712e-07
74,4.60683283712e-07
75,4.60683283712e-07
76,4.60683283712e-07
77,4.60683283712e-07
78,4.60683283712e-07
79,4.60683283712e-07
80,4.60683283712e-07
81,2.33378957038e-07
82,2.33378957038e-07
83,2.33378957038e-07
84,2.33378957038e-07
85,2.33378957038e-07
86,2.33378957038e-07
87,2.33378957038e-07
88,2.33378957038e-07
89,4.18428174826e-07
90,4.18428174826e-07
91,4.18428174826e-07
92,4.18428174826e-07
93,4.18428174826e-07
94,4.18428174826e-07
95,4.18428174826e-07
96,4.18428174826e-07
97,4.50678817855e-07
98,4.50678817855e-07
99,4.50678817855e-07
100,4.50678817855e-07
101,4.50678817855e-07
102,4.50678817855e-07
103,4.50678817855e-07
104,4.50678817855e-07
105,1.3888972964e-07
106,1.3888972964e-07
